,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss,hp_metric,lr-Adam,train_loss,epoch,validation_loss,test_loss
,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,max,max,max,max,max,max
step,,,,,,,,,,,,,,,,,,
0,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,,-1.0,0.0010000000474974513,,,,
360,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
363,,,24.720304870605467,36.0,,,,,21.99728012084961,36.0,,,,,27.451107025146484,36.0,,
369,,,,36.0,35.62883605957031,,,,,36.0,34.383270263671875,,,,,36.0,36.89910125732422,
370,,0.0010000000474974513,24.942308807373045,37.0,,,,0.0010000000474974513,22.40509033203125,37.0,,,,0.0010000000474974513,28.62700653076172,37.0,,
377,,,41.73965072631836,37.0,,,,,37.75841522216797,37.0,,,,,43.972618103027344,37.0,,
379,,,,37.0,33.77651824951172,,,,,37.0,33.277671813964844,,,,,37.0,35.17430114746094,
380,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,,,0.0010000000474974513,,,,
384,,,44.856640625,38.0,,,,,41.24269104003906,38.0,,,,,49.35974884033203,38.0,,
389,,,,38.0,34.49397659301758,,,,,38.0,32.86552429199219,,,,,38.0,36.071205139160156,
390,,0.0006400000274879858,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
391,,,21.429257202148438,39.0,,,,,17.277698516845703,39.0,,,,,26.518840789794922,39.0,,
398,,,22.71116523742676,39.0,,,,,19.96875762939453,39.0,,,,,25.050918579101562,39.0,,
399,,,,39.0,34.086907958984376,,,,,39.0,33.102622985839844,,,,,39.0,35.6851692199707,
400,,0.0006400000274879858,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
405,,,33.54954528808594,40.0,,,,,31.165817260742188,40.0,,,,,35.75414276123047,40.0,,
409,,,,40.0,33.45166702270508,,,,,40.0,31.670562744140625,,,,,40.0,35.8002815246582,
410,,0.0006400000274879858,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
412,,,40.14661483764648,41.0,,,,,35.22264099121094,41.0,,,,,43.02997589111328,41.0,,
419,,,20.069599914550782,41.0,33.55283660888672,,,,18.9075870513916,41.0,32.06996536254883,,,,21.65860366821289,41.0,35.16055679321289,
420,,0.0006400000274879858,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
426,,,37.72851028442383,42.0,,,,,35.21492385864258,42.0,,,,,39.03718566894531,42.0,,
429,,,,42.0,36.54691848754883,,,,,42.0,35.93923568725586,,,,,42.0,37.23943328857422,
430,,0.00046000001748325303,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
433,,,43.30308456420899,43.0,,,,,42.44465637207031,43.0,,,,,44.63702392578125,43.0,,
439,,,,43.0,34.14886245727539,,,,,43.0,32.8426628112793,,,,,43.0,35.62154006958008,
440,,0.00046000001748325303,21.81796798706055,44.0,,,,9.999999747378752e-05,18.568702697753906,44.0,,,,0.0010000000474974513,23.61712646484375,44.0,,
447,,,31.956292724609376,44.0,,,,,28.77867889404297,44.0,,,,,33.97240447998047,44.0,,
449,,,,44.0,33.56374931335449,,,,,44.0,31.84376335144043,,,,,44.0,35.158931732177734,
450,,0.0002800000074785203,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
454,,,29.918109512329103,45.0,,,,,26.08629608154297,45.0,,,,,34.086647033691406,45.0,,
459,,,,45.0,32.41021537780762,,,,,45.0,30.57307243347168,,,,,45.0,34.371089935302734,
460,,0.0002800000074785203,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
461,,,25.160733032226563,46.0,,,,,20.929920196533203,46.0,,,,,27.885486602783203,46.0,,
468,,,40.17258529663086,46.0,,,,,37.17398452758789,46.0,,,,,42.24082946777344,46.0,,
469,,,,46.0,34.33622360229492,,,,,46.0,33.017452239990234,,,,,46.0,35.5149040222168,
470,,0.0002800000074785203,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
475,,,34.83010330200195,47.0,,,,,33.48640441894531,47.0,,,,,36.91213607788086,47.0,,
479,,,,47.0,34.44398422241211,,,,,47.0,33.11891174316406,,,,,47.0,36.24827575683594,
480,,0.0002800000074785203,,,,,,9.999999747378752e-05,,,,,,0.0010000000474974513,,,,
482,,,46.33397216796875,48.0,,,,,43.0879020690918,48.0,,,,,48.91334533691406,48.0,,
489,,,30.193829345703126,48.0,32.45861053466797,,,,28.777626037597656,48.0,31.17400360107422,,,,32.65907669067383,48.0,33.536346435546875,
